,bgettedu13,Marionette,camcam,Aymerrrric,Dada,Toto Levy,cle,coco22,cleo,Marine,Paupau,caro,Ren̩,Zguegory,cvd,Acajou,Tarbouritech,__relouvet__,pio,tonio
bgettedu13,0.0,33.0,15.0,0.0,0.0,0.0,3.0,4.0,11.0,12.0,0.0,6.0,59.0,6.0,0.0,0.0,11.0,57.0,0.0,4.0
Marionette,33.0,0.0,25.0,0.0,0.0,0.0,3.0,5.0,5.0,20.0,4.0,3.0,46.0,17.0,0.0,4.0,15.0,44.0,0.0,4.0
camcam,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,9.0,0.0,3.0,5.0,15.0,0.0,0.0
Aymerrrric,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,6.0,3.0,0.0,0.0,7.0,0.0,5.0,0.0,3.0,12.0,0.0,4.0
Dada,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,7.0,3.0,0.0
Toto Levy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cle,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0
coco22,4.0,5.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,5.0,4.0,0.0,10.0,5.0,0.0,0.0,5.0,11.0,0.0,3.0
cleo,11.0,5.0,0.0,6.0,4.0,0.0,4.0,4.0,0.0,9.0,0.0,15.0,13.0,9.0,8.0,0.0,11.0,32.0,3.0,13.0
Marine,12.0,20.0,4.0,3.0,4.0,0.0,3.0,5.0,9.0,0.0,4.0,6.0,18.0,5.0,0.0,3.0,10.0,18.0,0.0,3.0
Paupau,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0,3.0
caro,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,6.0,5.0,0.0,0.0,3.0,14.0,0.0,6.0
Ren̩,59.0,46.0,16.0,7.0,3.0,0.0,5.0,10.0,13.0,18.0,4.0,6.0,0.0,37.0,0.0,3.0,15.0,118.0,0.0,9.0
Zguegory,6.0,17.0,9.0,0.0,0.0,0.0,7.0,5.0,9.0,5.0,0.0,5.0,37.0,0.0,0.0,0.0,9.0,32.0,0.0,7.0
cvd,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,5.0
Acajou,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
Tarbouritech,11.0,15.0,5.0,3.0,3.0,0.0,0.0,5.0,11.0,10.0,4.0,3.0,15.0,9.0,4.0,3.0,0.0,25.0,4.0,4.0
__relouvet__,57.0,44.0,15.0,12.0,7.0,0.0,9.0,11.0,32.0,18.0,5.0,14.0,118.0,32.0,10.0,4.0,25.0,0.0,5.0,18.0
pio,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0
tonio,4.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,13.0,3.0,3.0,6.0,9.0,7.0,5.0,0.0,4.0,18.0,4.0,0.0
